age_CE,CalibT,ReconT,95%+,95%-
2003,-0.5205,,,
2002,0.5602,,,
2001,-0.1527,,,
2000,-0.5391,,,
1999,-0.8912,-1.5308,-0.6308,-2.4308
1998,-0.6329,0.059,0.959,-0.841
1997,-0.6266,-0.2269,0.6731,-1.1269
1996,0.8734,1.0329,1.9329,0.1329
1995,-0.2318,0.2671,1.1671,-0.6329
1994,-0.6599,-0.1394,0.7606,-1.0394
1993,-0.8641,-0.4336,0.4664,-1.3336
1992,-0.2683,0.3849,1.2849,-0.5151
1991,0.9942,0.5135,1.4135,-0.3865
1990,0.1921,-0.1605,0.7395,-1.0605
1989,-0.0568,-0.0948,0.8052,-0.9948
1988,0.6609,0.4396,1.3396,-0.4604
1987,0.0067,-0.475,0.425,-1.375
1986,0.1286,-1.0227,-0.1227,-1.9227
1985,-0.2454,-0.4143,0.4857,-1.3143
1984,0.3421,0.6036,1.5036,-0.2964
1983,-0.1121,-0.0746,0.8254,-0.9746
1982,-0.5454,-0.1023,0.7977,-1.0023
1981,0.8036,0.4063,1.3063,-0.4937
1980,1.0463,1.1772,2.0772,0.2772
1979,-0.3079,-0.288,0.612,-1.188
1978,-0.0402,-0.6092,0.2908,-1.5092
1977,0.1411,-0.2761,0.6239,-1.1761
1976,-0.585,-0.382,0.518,-1.282
1975,0.2473,0.8087,1.7087,-0.0913
1974,0.5015,0.3991,1.2991,-0.5009
1973,0.1817,-0.0695,0.8305,-0.9695
1972,0.289,0.0441,0.9441,-0.8559
1971,0.2984,-0.0591,0.8409,-0.9591
1970,-0.1975,-0.0924,0.8076,-0.9924
1969,-0.4329,-0.4646,0.4354,-1.3646
1968,-0.2371,-0.1987,0.7013,-1.0987
1967,0.2025,0.0726,0.9726,-0.8274
1966,-0.0048,-0.8002,0.0998,-1.7002
1965,-0.5923,-0.0644,0.8356,-0.9644
1964,-0.6308,0.2483,1.1483,-0.6517
1963,-0.4016,-0.2453,0.6547,-1.1453
1962,-0.9475,-0.5258,0.3742,-1.4258
1961,0.3069,-0.0026,0.8974,-0.9026
1960,,0.1445,1.0445,-0.7555
1959,,-0.4448,0.4552,-1.3448
1958,,0.2189,1.1189,-0.6811
1957,,-0.2772,0.6228,-1.1772
1956,,-0.357,0.543,-1.257
1955,,-0.8953,0.0047,-1.7953
1954,,-0.2041,0.6959,-1.1041
1953,,0.1514,1.0514,-0.7486
1952,,-0.4546,0.4454,-1.3546
1951,,-0.5575,0.3425,-1.4575
1950,,-0.0755,0.8245,-0.9755
1949,,0.1155,1.0155,-0.7845
1948,,-0.4174,0.4826,-1.3174
1947,,-0.7709,0.1291,-1.6709
1946,,-0.0807,0.8193,-0.9807
1945,,0.7211,1.6211,-0.1789
1944,,0.0092,0.9092,-0.8908
1943,,-0.8789,0.0211,-1.7789
1942,,-0.2188,0.6812,-1.1188
1941,,0.3611,1.2611,-0.5389
1940,,0.5724,1.4724,-0.3276
1939,,1.1162,2.0162,0.2162
1938,,0.1856,1.0856,-0.7144
1937,,-0.0208,0.8792,-0.9208
1936,,-0.1891,0.7109,-1.0891
1935,,0.1374,1.0374,-0.7626
1934,,0.0617,0.9617,-0.8383
1933,,-0.0774,0.8226,-0.9774
1932,,-0.0839,0.8161,-0.9839
1931,,0.5772,1.4772,-0.3228
1930,,0.5387,1.4387,-0.3613
1929,,-0.6104,0.2896,-1.5104
1928,,-0.1272,0.7728,-1.0272
1927,,-0.5057,0.3943,-1.4057
1926,,-0.142,0.758,-1.042
1925,,-0.0245,0.8755,-0.9245
1924,,-0.1234,0.7766,-1.0234
1923,,0.2457,1.1457,-0.6543
1922,,-0.1784,0.7216,-1.0784
1921,,-0.0736,0.8264,-0.9736
1920,,-0.0096,0.8904,-0.9096
1919,,-0.5,0.4,-1.4
1918,,-0.1958,0.7042,-1.0958
1917,,0.2395,1.1395,-0.6605
1916,,0.0921,0.9921,-0.8079
1915,,-0.1297,0.7703,-1.0297
1914,,-0.7411,0.1589,-1.6411
1913,,0.1245,1.0245,-0.7755
1912,,0.4343,1.3343,-0.4657
1911,,-0.0287,0.8713,-0.9287
1910,,-0.9242,-0.0242,-1.8242
1909,,-0.4137,0.4863,-1.3137
1908,,-0.2256,0.6744,-1.1256
1907,,-0.6759,0.2241,-1.5759
1906,,-0.4868,0.4132,-1.3868
1905,,-0.6373,0.2627,-1.5373
1904,,-0.3353,0.5647,-1.2353
1903,,-0.3831,0.5169,-1.2831
1902,,0.6527,1.5527,-0.2473
1901,,0.1325,1.0325,-0.7675
1900,,0.0812,0.9812,-0.8188
1899,,0.1444,1.0444,-0.7556
1898,,0.8369,1.7369,-0.0631
1897,,-0.3277,0.5723,-1.2277
1896,,-0.3168,0.5832,-1.2168
1895,,-0.6393,0.2607,-1.5393
1894,,-0.327,0.573,-1.227
1893,,-0.3427,0.5573,-1.2427
1892,,-0.4527,0.4473,-1.3527
1891,,-0.5109,0.3891,-1.4109
1890,,-0.258,0.642,-1.158
1889,,0.1947,1.0947,-0.7053
1888,,0.0199,0.9199,-0.8801
1887,,-0.0755,0.8245,-0.9755
1886,,-0.3557,0.5443,-1.2557
1885,,-0.4863,0.4137,-1.3863
1884,,-0.657,0.243,-1.557
1883,,0.096,0.996,-0.804
1882,,-0.5548,0.3452,-1.4548
1881,,-0.9966,-0.0966,-1.8966
1880,,-0.5551,0.3449,-1.4551
1879,,-0.5095,0.3905,-1.4095
1878,,0.1442,1.0442,-0.7558
1877,,0.1549,1.0549,-0.7451
1876,,0.5416,1.4416,-0.3584
1875,,-1.1216,-0.2216,-2.0216
1874,,-0.6734,0.2266,-1.5734
1873,,-0.0909,0.8091,-0.9909
1872,,0.1929,1.0929,-0.7071
