depth_m,age_gasBP,CH4
108.0004,321.894,689.86744
108.00106,321.9223,688.19442
108.00172,321.9506,688.42004
108.00237,321.9789,688.13378
108.00303,322.0072,690.26782
108.00369,322.0355,692.19212
108.00435,322.0638,690.31481
108.005,322.092,688.00052
108.00566,322.1203,686.22199
108.00632,322.1486,688.20915
108.00698,322.1769,688.26605
108.00763,322.2052,685.98947
108.00829,322.2335,685.7722
108.00895,322.2618,687.57718
108.00961,322.2901,687.25412
108.01027,322.3184,688.75408
108.01092,322.3467,688.95287
108.01158,322.375,690.61843
108.01224,322.4032,691.09187
108.0129,322.4315,690.78492
108.01355,322.4598,691.31726
108.01421,322.4881,692.61609
108.01487,322.5164,692.70794
108.01553,322.5447,689.52403
108.01618,322.573,691.11736
108.01684,322.6013,693.19581
108.0175,322.6296,694.19205
108.01816,322.6579,690.93135
108.01882,322.6862,690.07557
108.01947,322.7145,689.15732
108.02013,322.7427,688.53371
108.02079,322.771,689.63219
108.02145,322.7993,689.97068
108.0221,322.8276,691.40304
108.02276,322.8559,690.59148
108.02342,322.8842,688.35439
108.02408,322.9125,692.78661
108.02473,322.9408,690.42157
108.02539,322.9691,691.58629
108.02605,322.9974,691.37839
108.02671,323.0257,691.28348
108.02737,323.0539,692.12416
108.02802,323.0822,692.64717
108.02868,323.1105,691.39214
108.02934,323.1388,691.72837
108.03,323.1671,691.85331
108.03065,323.1954,691.7088
108.03131,323.2237,692.54974
108.03197,323.252,692.92952
108.03263,323.2803,693.06739
108.03328,323.3086,692.12736
108.03394,323.3369,692.917
108.0346,323.3651,694.09432
108.03526,323.3934,692.06224
108.03592,323.4217,691.13565
108.03657,323.45,692.68108
108.03723,323.4783,694.12709
108.03789,323.5066,692.66718
108.03855,323.5349,693.16602
108.0392,323.5632,691.53682
108.03986,323.5915,693.41448
108.04052,323.6198,691.90995
108.04118,323.6481,691.20676
108.04183,323.6763,689.36712
108.04249,323.7046,690.9217
108.04315,323.7329,690.47103
108.04381,323.7612,691.05818
108.04447,323.7895,692.72381
108.04512,323.8178,694.91981
108.04578,323.8461,694.22338
108.04644,323.8744,691.96463
108.0471,323.9027,691.18732
108.04775,323.931,692.52155
108.04841,323.9593,691.69586
108.04907,323.9875,692.57865
108.04973,324.0158,689.7514
108.05038,324.0441,691.58273
108.05104,324.0724,692.69099
108.0517,324.1007,691.44898
108.05236,324.129,691.16952
108.05302,324.1573,691.93668
108.05367,324.1856,689.35415
108.05433,324.2139,689.83196
108.05499,324.2422,691.25736
108.05565,324.2705,690.09475
108.0563,324.2987,691.63392
108.05696,324.327,689.89883
108.05762,324.3553,688.92401
108.05828,324.3836,690.13944
108.05893,324.4119,690.51416
108.05959,324.4402,688.68708
108.06025,324.4685,688.03204
108.06091,324.4968,687.95314
108.06157,324.5251,689.80762
108.06222,324.5534,686.38195
108.06288,324.5817,688.33392
108.06354,324.6099,688.60875
108.0642,324.6382,687.47114
108.06485,324.6665,685.62415
108.06551,324.6948,684.97194
108.06617,324.7231,685.92347
108.06683,324.7514,686.11965
108.06748,324.7797,683.20727
